segment                                   peek  keep  take  seal  free
spin_189                                     1     0     0     0     0
spin_188                                     0     0     0     0     0
spin_187                                     1     0     0     0     0
spin_184                                     1     0     0     0     0
spin_183                                     0     0     0     0     0
spin_180                                     0     0     0     0     0
spin_18                                      0     0     0     0     0
spin_179                                     0     0     0     0     0
spin_173                                     0     0     0     0     0
spin_172                                     0     0     0     0     0
spin_171                                     0     0     0     0     0
spin_170                                     0     0     0     0     0
spin_17                                      0     0     0     0     0
spin_168                                     0     0     0     0     0
spin_167                                     0     0     0     0     0
spin_166                                     0     0     0     0     0
spin_165                                     0     0     0     0     0
spin_164                                     0     0     0     0     0
spin_163                                     0     0     0     0     0
spin_162                                     0     0     0     0     0
spin_161                                     0     0     0     0     0
spin_16                                      0     0     0     0     0
spin_159                                     0     0     0     0     0
spin_156                                     0     0     0     0     0
spin_154                                     0     0     0     0     0
spin_152                                     0     0     0     0     0
spin_151                                     0     0     0     0     0
spin_150                                     0     0     0     0     0
spin_15                                      0     0     0     0     0
spin_149                                     0     0     0     0     0
spin_148                                     0     0     0     0     0
spin_147                                     0     0     0     0     0
spin_145                                     0     0     0     0     0
spin_141                                     0     0     0     0     0
spin_140                                     0     0     0     0     0
spin_14                                      0     0     0     0     0
spin_139                                     0     0     0     0     0
spin_135                                     0     0     0     0     0
spin_131                                     0     0     0     0     0
spin_130                                     0     0     0     0     0
spin_128                                     1     0     0     0     0
spin_127                                     1     0     0     0     0
spin_125                                     0     0     0     0     0
spin_124                                     0     0     0     0     0
spin_123                                     0     0     0     0     0
spin_122                                     0     0     0     0     0
spin_121                                     0     0     0     0     0
spin_120                                     0     0     0     0     0
spin_119                                     1     0     0     0     0
spin_118                                     0     0     0     0     0
spin_115                                     0     0     0     0     0
spin_114                                     2     0     0     0     0
spin_112                                     0     0     0     0     0
spin_111                                     0     0     0     0     0
spin_110                                     0     0     0     0     0
spin_108                                     0     0     0     0     0
spin_107                                     0     0     0     0     0
spin_106                                     0     0     0     0     0
spin_104                                     0     0     0     0     0
spin_103                                     0     0     0     0     0
spin_102                                     0     0     0     0     0
spin_100                                     1     0     0     0     0
spin_10                                      1     0     0     0     0
spin_1                                       0     0     0     0     0
FID_U32_SHOW                                 0     0     0     0     0
FID_STRING_TAKE                              1     0     0     0     0
FID_STRING_REPEAT_K372                       0     0     0     0     0
FID_STRING_ORDER_K840                        0     0     0     0     0
FID_STRING_ORDER                             0     0     0     0     0
FID_STRING_IS_LE_K952                        0     0     0     0     0
FID_STRING_IS_LE                             0     0     0     0     0
FID_STRING_IS_GT_K959                        0     0     0     0     0
FID_STRING_IS_GT                             0     0     0     0     0
FID_STRING_CMP_K704                          0     0     0     0     0
FID_READ_OPENED_C1523                        0     0     0     0     4
FID_READ_OPENED_C1522                        0     0     0     0     0
FID_READ_OPENED_C1521                        0     0     0     0     0
FID_READ_OPENED                              0     0     0     0     0
FID_READ_MSG_K1519                           0     0     0     0     0
FID_READ_MSG                                 0     0     0     0     0
FID_READ_LOOP_C1430                          0     0     0     0     0
FID_READ_LOOP_C1429                          0     0     0     0     0
FID_READ_LOOP_C1428                          0     0     0     0     0
FID_READ_LOOP_C1427                          0     0     0     0     0
FID_READ_LOOP_C1426                          0     0     0     0     0
FID_READ_LOOP_C1425                          0     0     0     0     0
FID_READ_LOOP_C1424                          0     0     0     0     0
FID_READ_LOOP_C1423                          0     0     0     0     0
FID_READ_INPUT_C1591                         0     0     0     0     3
FID_READ_INPUT_C1590                         0     0     0     0     0
FID_READ_INPUT_C1589                         0     0     0     0     3
FID_READ_INPUT_C1588                         0     0     0     0     0
FID_READ_INPUT                               0     0     0     0     0
FID_PUT_STATS_C1032                          0     0     0     0     0
FID_OS_TEXT_K1420                            0     0     0     0     0
FID_OS_TEXT_K1419                            0     0     0     0     0
FID_OS_TEXT_K1418                            0     0     0     0     0
FID_OS_TEXT                                  0     0     0     0     0
FID_NAT_SHOW                                 0     0     0     0     0
FID_MAIN_K1686                               0     0     0     0     0
FID_MAIN_K1680                               0     0     0     0     0
FID_MAIN_K1674                               0     0     0     0     0
FID_MAIN_K1672                               0     0     0     0     0
FID_MAIN_K1669                               0     0     0     0     0
FID_MAIN_K1665                               0     0     0     0     0
FID_MAIN_C1691                               0     0     0     0     0
FID_MAIN_C1690                               0     0     0     0     0
FID_MAIN_C1689                               0     0     0     0     0
FID_MAIN_C1688                               0     0     0     0     0
FID_MAIN_C1685                               0     0     0     0     0
FID_MAIN_C1684                               0     0     0     0     0
FID_MAIN_C1683                               0     0     0     0     4
FID_MAIN_C1682                               0     0     0     0     0
FID_MAIN_C1677                               0     0     0     0     0
FID_MAIN_C1676                               0     0     0     0     0
FID_MAIN_C1675                               0     0     0     0     0
FID_MAIN_C1673                               0     0     0     0     0
FID_MAIN_C1670                               0     0     0     0     0
FID_MAIN_C1667                               0     0     0     0     0
FID_MAIN_C1666                               0     0     0     0     0
FID_MAIN_C1664                               0     0     0     0     0
FID_MAIN_C1663                               0     0     0     0     0
FID_MAIN                                     0     0     0     0     0
