segment                                   peek  keep  take  seal  free
spin_415                                     0     0     0     0     0
spin_413                                     0     0     0     0     0
spin_411                                     0     0     0     0     0
spin_410                                     0     0     0     0     0
spin_407                                     0     0     0     0     0
spin_404                                     0     0     0     0     0
spin_40                                      0     0     0     0     0
spin_4                                       0     0     0     0     0
spin_399                                     0     0     0     0     0
spin_397                                     0     0     0     0     0
spin_394                                     0     0     0     0     0
spin_393                                     0     0     0     0     0
spin_391                                     0     0     0     0     0
spin_390                                     0     0     0     0     0
spin_39                                      0     0     0     0     0
spin_388                                     0     0     0     0     0
spin_386                                     0     0     0     0     0
spin_385                                     0     0     0     0     0
spin_382                                     0     0     0     0     0
spin_380                                     0     0     0     0     0
spin_379                                     0     0     0     0     0
spin_374                                     0     0     0     0     0
spin_371                                     0     0     0     0     0
spin_370                                     0     0     0     0     0
spin_369                                     0     0     0     0     0
spin_368                                     0     0     0     0     0
spin_367                                     1     0     0     0     0
spin_366                                     0     0     0     0     0
spin_363                                     0     0     0     0     0
spin_362                                     1     0     0     0     0
spin_361                                     0     0     0     0     0
spin_360                                     0     0     0     0     0
spin_36                                      1     0     0     0     0
spin_358                                     0     0     0     0     0
spin_357                                     0     0     0     0     0
spin_356                                     0     0     0     0     0
spin_351                                     0     0     0     0     0
spin_350                                     0     0     0     0     0
spin_35                                      0     0     0     0     0
spin_349                                     0     0     0     0     0
spin_345                                     0     0     0     0     0
spin_341                                     0     0     0     0     0
spin_340                                     0     0     0     0     0
spin_339                                     0     0     0     0     0
spin_338                                     0     0     0     0     0
spin_336                                     0     0     0     0     0
spin_335                                     0     0     0     0     0
spin_332                                     0     0     0     0     0
spin_331                                     0     0     0     0     0
spin_330                                     0     0     0     0     0
spin_33                                      0     0     0     0     0
spin_329                                     0     0     0     0     0
spin_328                                     0     0     0     0     0
spin_326                                     0     0     0     0     0
spin_325                                     0     0     0     0     0
spin_324                                     0     0     0     0     0
spin_323                                     0     0     0     0     0
spin_322                                     0     0     0     0     0
spin_320                                     0     0     0     0     0
spin_32                                      0     0     0     0     0
spin_319                                     0     0     0     0     0
spin_312                                     0     0     0     0     0
spin_310                                     0     0     0     0     0
spin_309                                     0     0     0     0     0
spin_308                                     0     0     0     0     0
spin_307                                     0     0     0     0     0
spin_306                                     0     0     0     0     0
spin_302                                     0     0     0     0     0
spin_301                                     0     0     0     0     0
spin_300                                     0     0     0     0     0
spin_3                                       0     0     0     0     0
spin_296                                     0     0     0     0     0
spin_293                                     0     0     0     0     0
spin_291                                     0     0     0     0     0
spin_290                                     0     0     0     0     0
spin_289                                     0     0     0     0     0
spin_288                                     0     0     0     0     0
spin_286                                     0     0     0     0     0
spin_285                                     0     0     0     0     0
spin_283                                     1     0     0     0     0
spin_282                                     1     0     0     0     0
spin_281                                     0     0     0     0     0
spin_279                                     0     0     0     0     0
spin_278                                     0     0     0     0     0
spin_276                                     0     0     0     0     0
spin_275                                     0     0     0     0     0
spin_273                                     0     0     0     0     0
spin_272                                     0     0     0     0     0
spin_271                                     0     0     0     0     0
spin_27                                      0     0     0     0     0
spin_267                                     0     0     0     0     0
spin_266                                     0     0     0     0     0
spin_264                                     0     0     0     0     0
spin_263                                     0     0     0     0     0
spin_261                                     0     0     0     0     0
spin_257                                     0     0     0     0     0
spin_256                                     0     0     0     0     0
spin_255                                     1     0     0     0     0
spin_251                                     0     0     0     0     0
spin_249                                     0     0     0     0     0
spin_246                                     0     0     0     0     0
spin_242                                     0     0     0     0     0
spin_240                                     0     0     0     0     0
spin_238                                     1     0     0     0     0
spin_236                                     1     0     0     0     0
spin_235                                     0     0     0     0     0
spin_233                                     0     0     0     0     0
spin_227                                     0     0     0     0     0
spin_222                                     0     0     0     0     0
spin_221                                     0     0     0     0     0
spin_220                                     0     0     0     0     0
spin_22                                      0     0     0     0     0
spin_218                                     0     0     0     0     0
spin_216                                     0     0     0     0     0
spin_215                                     0     0     0     0     0
spin_211                                     0     0     0     0     0
spin_210                                     0     0     0     0     0
spin_21                                      0     0     0     0     0
spin_208                                     0     0     0     0     0
spin_207                                     1     0     0     0     0
spin_200                                     1     0     0     0     0
spin_2                                       0     0     0     0     0
spin_199                                     0     0     0     0     0
spin_198                                     0     0     0     0     0
spin_196                                     0     0     0     0     0
spin_195                                     1     0     0     0     0
spin_192                                     0     0     0     0     0
spin_190                                     0     0     0     0     0
spin_189                                     1     0     0     0     0
spin_188                                     0     0     0     0     0
spin_187                                     1     0     0     0     0
spin_184                                     0     0     0     0     0
spin_181                                     0     0     0     0     0
spin_180                                     0     0     0     0     0
spin_18                                      0     0     0     0     0
spin_174                                     0     0     0     0     0
spin_173                                     0     0     0     0     0
spin_172                                     0     0     0     0     0
spin_171                                     0     0     0     0     0
spin_17                                      0     0     0     0     0
spin_169                                     0     0     0     0     0
spin_168                                     0     0     0     0     0
spin_167                                     0     0     0     0     0
spin_166                                     0     0     0     0     0
spin_165                                     0     0     0     0     0
spin_164                                     0     0     0     0     0
spin_163                                     0     0     0     0     0
spin_16                                      0     0     0     0     0
spin_159                                     0     0     0     0     0
spin_156                                     0     0     0     0     0
spin_155                                     0     0     0     0     0
spin_153                                     0     0     0     0     0
spin_152                                     0     0     0     0     0
spin_151                                     0     0     0     0     0
spin_150                                     0     0     0     0     0
spin_15                                      0     0     0     0     0
spin_149                                     0     0     0     0     0
spin_148                                     0     0     0     0     0
spin_147                                     0     0     0     0     0
spin_144                                     0     0     0     0     0
spin_142                                     0     0     0     0     0
spin_141                                     0     0     0     0     0
spin_140                                     0     0     0     0     0
spin_14                                      0     0     0     0     0
spin_136                                     0     0     0     0     0
spin_134                                     1     0     0     0     0
spin_133                                     1     0     0     0     0
spin_132                                     0     0     0     0     0
spin_131                                     0     0     0     0     0
spin_130                                     0     0     0     0     0
