Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_ENCODE_CTX_ROOT_K1270
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_ENCODE_DOTTED_SET
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_ENCODE_EMIT_K1280
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_ENCODE_ENCODE
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_ENCODE_ENCODE_K1380
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_ENCODE_ENCODE_K1381
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_ENCODE_FCTX_ROOT
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_ENCODE_FCTX_ROOT_K1162
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_FILE_CLOSE
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_FILE_OPEN
  0.00      4.24     0.00        1     0.00     0.00  WL_FID_IO_ARGS
